Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ601,Buzzer,XDCR_SMT-0927-S-HT-R_handsolder,39.81,-0.275,-90.0,top
C301,47u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,42.6,32.375,90.0,top
C302,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.7275,29.4225,90.0,top
C303,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.018,20.9675,-90.0,top
C304,18p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.8875,22.225,0.0,top
C305,390p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.808,18.08931,180.0,top
C306,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.38,42.69,90.0,top
C307,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.25,17.71,-90.0,top
C308,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.86,28.92,180.0,top
C309,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.2,37.4,90.0,top
C310,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.7175,25.8875,-90.0,top
C311,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.82,25.9,-90.0,top
C312,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.18,30.85,90.0,top
C314,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.2,29.79,-90.0,top
C316,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.25,48.93,-90.0,top
C401,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.18,-0.03,90.0,top
C402,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.22,-0.04,90.0,top
C403,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.26,-0.05,90.0,top
C404,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.24,-3.82,-90.0,top
C405,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.26,-3.82,-90.0,top
C406,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.38,-3.69,90.0,top
C407,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.33,-3.69,90.0,top
C501,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.59,18.19,180.0,top
C502,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.53,15.32,-90.0,top
D301,SMF6.0CA,D_SOD-123F,32.14,45.6825,90.0,top
D302,SS14,D_SMA,39.19,44.4325,90.0,top
D303,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,25.575,55.025,180.0,top
D304,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,25.525,53.025,180.0,top
D305,1N4148,D_SOD-323_HandSoldering,63.1275,46.09,180.0,top
D306,1N4148,D_SOD-323_HandSoldering,57.47,43.83,0.0,top
D307,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,25.575,57.1,180.0,top
D308,1N4148,D_SOD-323_HandSoldering,45.36,41.44,90.0,top
D309,SS14,D_SMA,49.9,41.2,0.0,top
D310,1N4148,D_SOD-323_HandSoldering,69.88,10.88,90.0,top
D311,1N4148,D_SOD-323_HandSoldering,57.27,47.1,0.0,top
D312,1N4148,D_SOD-323_HandSoldering,65.15,30.42,90.0,top
D601,D,D_SOD-123,44.71,12.24,180.0,top
J201,M20-8770842,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reverse,77.0086,21.393,90.0,top
J202,M20-8770642,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reverse,77.0086,1.0984,270.0,top
J203,M20-8771042,PinHeader_1x10_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reversed,28.7232,28.0478,270.0,top
J204,M20-8770842,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reverse,28.7232,3.613,270.0,top
J301,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-17,26.575,46.725,-90.0,top
J302,USB_TP,PinHeader_1x02_P2.54mm_Vertical,35.49,44.845,270.0,top
J303,JST S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,36.87,53.03,180.0,top
J304,~,BridgePads,44.94,-37.93,180.0,bottom
J401,7712P0225A25LF,AMPHENOL_7312P0225A13LF_smrt2_combo_handsolder,54.565,-25.562705,0.0,top
J501,SFV12R-2STE1HLF,AMPHENOL_SFV12R-2STE1HLF_handsolder,56.97,20.5005,180.0,top
L301,1uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,41.29,26.36,0.0,top
Q301,AO3401A,SOT-23,46.42,37.5,270.0,top
Q302,2N7002,SOT-23,34.55,36.12,270.0,top
Q303,AO3401A,SOT-23,37.975,33.65,180.0,top
Q304,SS8050,SOT-23,66.96,22.66,270.0,top
Q305,NPN,SOT-89-3_Handsoldering,67.68,45.89,270.0,top
Q306,AO3401A,SOT-23,65.23,26.47,90.0,top
Q307,2N7002,SOT-23,69.0,31.525,180.0,top
Q308,2N7002,SOT-23,57.75,36.75,180.0,top
Q309,2N7002,SOT-23,49.32,31.85,270.0,top
Q601,NPN,SOT-89-3_Handsoldering,38.6,9.85,0.0,top
R301,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36.24,39.89,-90.0,top
R302,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.27,39.93,-90.0,top
R303,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,46.25,34.5,0.0,top
R304,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.91,32.34,90.0,top
R306,24k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.8375,19.325,-90.0,top
R307,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.11,36.44,180.0,top
R308,180k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.56,28.97,0.0,top
R309,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36.31,21.57,90.0,top
R310,150k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36.3,17.72,90.0,top
R311,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.69,55.03,0.0,top
R312,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.69,53.03,0.0,top
R313,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.22,21.57,-90.0,top
R314,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.87,46.43,-90.0,top
R315,3.9k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.91,46.44,-90.0,top
R316,330k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.9375,20.925,90.0,top
R317,82k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.0075,20.925,-90.0,top
R318,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.8375,23.825,0.0,top
R319,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.87,16.88,-90.0,top
R320,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,66.95,19.71,0.0,top
R321,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.82,39.8,90.0,top
R322,220k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.93,37.31,180.0,top
R323,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,65.81,39.99,-90.0,top
R324,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,63.26,48.77,0.0,top
R325,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,64.11,21.75,-90.0,top
R326,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.55,36.2,180.0,top
R327,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.71,41.9,180.0,top
R328,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.87,40.25,180.0,top
R329,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.54,34.205,0.0,top
R330,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.07,43.1,90.0,top
R331,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,69.495,28.855,0.0,top
R332,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.59,57.03,0.0,top
R333,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.95,13.85,0.0,top
R335,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.71,36.0,0.0,top
R336,390k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.85,34.81,180.0,top
R337,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,58.12,39.42,180.0,top
R401,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.23,4.88,180.0,top
R402,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.19,2.37,-90.0,top
R405,22R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.12,-4.14,180.0,top
R406,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.59,-3.74,0.0,top
R407,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.59,3.94,0.0,top
R408,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.59,0.1,0.0,top
R409,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.26,2.36,90.0,top
R410,24k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.09,2.38,-90.0,top
R411,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.82,-0.48,180.0,top
R412,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.59,-1.82,0.0,top
R413,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.59,2.04,180.0,top
R501,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.49,15.32,90.0,top
R502,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.04,18.18,180.0,top
R503,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.24,15.33,90.0,top
R504,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.39,15.33,90.0,top
R505,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.31,15.33,90.0,top
