Comment,Designator,Footprint,LCSC,Quantity
100,R330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C1015,1
100k,"R303,R305,R309,R313,R319,R323,R325,R328,R329",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,9
100n,"C302,C307,C308,C402,C403,C404,C406,C407,C502",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,9
10k,"R304,R307,R320,R321,R324,R326,R331,R404,R405,R407,R408,R502,R503,R504",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,14
10u,"C303,C306,C309",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
120k,R318,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25808,1
150k,R310,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17470,1
180k,R308,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17501,1
18p,C304,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1797,1
1N4148,"D305,D306",D_SOD-323_HandSoldering,C2128,2
1k,"R311,R312,R327,R332,R601,R602",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,6
1uH,L301,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C3002557,1
200R,"R401,R402,R501,R505",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17540,4
22R,R403,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17561,1
22u,"C310,C311,C401,C405,C501",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,5
24k,"R306,R406",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17575,2
2N7002,"Q302,Q307",SOT-23,C8545,2
2k,R314,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604,1
3.9k,R315,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17614,1
330k,R316,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C23137,1
390p,C305,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1743,1
4.7k,R603,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,1
47u,C301,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C96123,1
5.1k,"R301,R302",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
7712P0225A25LF (Or 7312P0225A13LF),J401,AMPHENOL_7312P0225A13LF_smrt2_combo_handsolder,C599034,1
82k,R317,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17840,1
AO3401A,"Q301,Q303,Q306",SOT-23,C15127,3
Buzzer,BZ601,XDCR_SMT-0927-S-HT-R_handsolder,C18623826,1
D,D601,D_SOD-123,C81598,1
JST S2B-PH-SM4-TB(LF)(SN),J303,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,1
LED,D303,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296,1
LED,D307,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
LED,D304,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256,1
M20-8770642,J202,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reverse,C2883763,1
M20-8770842,"J201,J204",PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reverse,C2883765,2
M20-8771042,J203,PinHeader_1x10_P2.54mm_Vertical_SMD_Pin1Right_handsolder_reversed,C2883767,1
NPN,"Q305,Q601",SOT-89-3_Handsoldering,C9634,2
SFV12R-2STE1HLF,J501,AMPHENOL_SFV12R-2STE1HLF_handsolder,C11086,1
SMF6.0CA,D301,D_SOD-123F,C2990473,1
SS14,D302,D_SMA,C2480,1
SS8050,Q304,SOT-23,C2150,1
ST8034ATDT,U401,SO-16_STM_handsolder,C2674140,1
SW_Push,"SW301,SW302",SW_SPST_SKQG_WithStem,C318884,2
TP4056-42-ESOP8,U302,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
TPS61089RNRR,U301,Texas_VQFN-RNR0011A-11,C165129,1
USB_C_Receptacle_PowerOnly_6P,J301,USB_C_Receptacle_HRO_TYPE-C-31-M-17,C668623,1
